Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
Allgemeine Psychologie I ,General Psychology I , , , , ,B.Sc. ab 2. Semester ,Sommersemester ,Professur für Theoretische Informatik / Algorithmische ,Prof. Dr. Stefan Pollmann ,deutsch ,FIN: M.Sc. WIF - Bereich Informatik ,Vorlesung ,Exercises in the lab and project work (2 hours per week) ,6 ,Strongly recommended: Wissenschaftliches Rechnen IV und V ,wachung ,Regelung ,Exam requirements: Participation and active involvement in the , , 
Allgemeine Psychologie II ,General Psychology II , , , , ,B.Sc. ab 1. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Geometrie ,Prof. Dr. Stefan Pollmann ,deutsch , ,Vorlesung ,Homework (124 h): , ,(Lagrangian and Hamiltonian geometric mechanics and ,Die Studierenden sollen an Hand des interdisziplinären ,Zuverlässigkeit / Robustheit ,course and the exercises , , 
Alternative Energien / Regenerative Elektroenergiequellen ,Alternative Energien / Regenerative Elektroenergiequellen , , , , ,B.Sc. ab 1. Semester ,Wintersemester ,Professoren der FIN ,Prof. Dr.-Ing. habil. Zbigniew Antoni Styczynski (FEIT-IESY) ,deutsch , ,Vorlesung; Übung ,Further Studies ,Voraussetzungen nach ,reduction for systems on Lie groups) ,Forschungs-gebietes Adaptronik interdisziplinäres Denken in ,Begleitendes Laborpraktikum: ,Final examination: Oral , , 
Anatomie und Physiologie ,Anatomy and Physiology , , , , ,B.Sc. ab 1. Semester ,Wintersemester ,"Professur für Elektrotechnik / Elektrische Aktorik, Professur für ",Prof. Dr. Friedemann Awiszus (Lehrimport aus der FME) ,deutsch ,FIN: M.Sc. CV - Bereich Informatik ,Vorlesung ,Realization of the exercises and the student projects ,Prüfungsordnung: , ,"den Ingenieurwis-senschaften lernen und trainieren, wie es für ",Selbständige Durchführung von Experimenten zu Adaptronik , , , 
Angewandte Bildverarbeitung ,Angewandte Bildverarbeitung , ,ABV , , ,M.Sc. ab 1. Semester ,Wintersemester ,Leitungselektronik ,apl. Prof. Dr.-Ing. habil. Ayoub Al-Hamadi ,deutsch ,FIN: M.Sc. DIGIENG - Methoden der Informatik ,Praktikum; Seminar ,Preparation for the final examination , , ,den Ingenieurberuf ty-pisch ist. Adaptronik verknüpft ,"Mes-sungen, Auswertung und Präsentation der Ergebnisse ", , , 
Angewandte Konstruktionstechnik ,Applied Engineering Design , , , , ,B.Sc. ab 3. Semester ,Wintersemester ,Prof. Dr. Stefan Pollmann ,"Prof. Grote, FMB-IMK Weitere Lehrende: Dr. Träger, FMB-IMK ",deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung ,180h (56h contact hours + 124h self-study) ,3 CP ,"Grundlagen der Informatik, Grundlagen des Maschinellen ","werkstoffwissenschaftliche, mecha-nische, elektrotechnische ", ,Oral Exam , ,Seite 18   Inhaltsverzeichnis 
Anwendungen zum Industriedesign ,Anwendungen zum Industriedesign , ,ID-Modul 2 , , ,B.Sc. ab 4. Semester ,Sommersemester ,Prof. Dr. Stefan Pollmann ,"HD Dipl.Designer, Dipl.-Ing. Thomas Gatzky ",deutsch ,FIN: M.Sc. DKE - Data Processing for Data Science ,Übung , , ,"Lernens, Programmierkenntnisse für die praktischen Übungen ",und regelungstechnische Kenntnisse und Fähigkeiten. Die , , , ,     
Anwendungssysteme ,Business Application Systems , ,AWS , , ,M.Sc. ab 1. Semester ,Sommersemester ,Prof. Dr.-Ing. habil. Zbigniew Antoni Styczynski (FEIT-IESY) ,Prof. Dr. Klaus Turowski ,deutsch ,FIN: M.Sc. DKE (alt) - Bereich Methods II ,Vorlesung; Übung ,3 Credit Points = 90 h (28h Präsenzzeit + 62h selbstständige ,Voraussetzungen nach ,von Vorteil ,Übungen werden als Laborübungen durchgeführt. Im Praktikum ,Overview and history of database models , , , 
Applied Deep Learning ,Applied Deep Learning , ,ADL , , ,B.Sc. ab 3. Semester ,Wintersemester ,Prof. Dr. Friedemann Awiszus (Lehrimport aus der FME) ,Prof. Sebastian Stober ,englisch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung; Übung; Projekt ,"Arbeit), Notenskala gemäß Prüfungsordnung ",Prüfungsordnung: , ,lösen die Studenten selbständig komplexere Aufga-benstellung ,"NF2-, object-oriented, object-relational, and semi-structured ", , ,http://wwwiti.cs.uni-magdeburg.de/iti_db/lehre/advdb/ 
Applied Discrete Modelling ,Applied Discrete Modelling , ,ADM , , ,B.Sc. ab 1. Semester; B.Sc. ab 2. Semester ,Wintersemester ,"Professur für Neuro-Informationstechnik, Professur für ",Claudia Krull ,englisch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Übung; Projekt , ,- , , ,database models , , , 
Architecting and Engineering Main Memory Database Systems in ,Architecting and Engineering Main Memory Database Systems in , ,ARCADE , , ,M.Sc. ab 1. Semester , ,Technische Informatik ,"Prof. Dr. Gunter Saake, M.Sc. Marcus Pinnecke ",englisch ,FIN: M.Sc. VC - Computer Science ,Vorlesung; Projekt , , ,Die Vorlesung Computernetze wird empfohlen , , ,Seite 21   Inhaltsverzeichnis , , 
Modern C ,Modern C , ,ArgTheo , , ,M.Sc. ab 1. Semester , ,"Prof. Grote, FMB-IMK ",Dr. Fabian Neuhaus ,deutsch ,FIN: M.Sc. WIF - Bereich Informatik ,Seminar ,Präsenzzeiten: ,6 , ,Seite 15   Inhaltsverzeichnis , ,     , , 
Argumentationstheorie in der Künstlichen Intelligenz ,Argumentation Theory in Artificial Intelligence , ,AROB , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Sommersemester ,"HD Dipl.Designer, Dipl.-Ing. Thomas Gatzky ","Hon.-Prof. Dr. Norbert Elkmann, Fraunhofer IFF ",deutsch , ,Vorlesung; Übung ,wöchentliche Vorlesung: 2 SWS , ,Grundlagen zu Data Mining ,     ,Seite 17   Inhaltsverzeichnis , , , 
Assistenzrobotik ,Assistance robotics , ,AVR , , ,M.Sc. ab 1. Semester ,Sommersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik I ,Prof. Dr. Christian Hansen ,englisch , ,Vorlesung; Projekt ,wöchentliche Übung: 2 SWS ,Voraussetzungen nach , , ,     , , , 
Augmented & Virtual Reality ,Augmented & Virtual Reality , ,AACG , , ,M.Sc. ab 1. Semester ,Wintersemester ,Prof. Sebastian Stober ,Dr. Christian Rössl ,deutsch ,FIN: M.Sc. DIGIENG - Methoden der Informatik ,Vorlesung; Übung ,Selbstständiges Arbeiten: ,Prüfungsordnung: , ,"en, deren erfolgreiche Bearbeitung eine Voraussetzung für die ", ,Leistungen: , , 
Ausgewählte Algorithmen der Computergraphik ,Selected Algorithms in Computer Graphics , , , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Simulation ,Dr. Maria Luz ,deutsch ,FIN: M.Sc. DKE - Learning Methods & Models for Data Science ,Vorlesung; Seminar ,Bearbeitung von Übungs- und Programmier-Aufgaben; , ,Grundkenntnisse in Algorithmen und Datenstrukturen ,Zulassung zur Prüfung ist. ,Application of the database models and design methodolo-gies ,Bearbeitung der Übungsaufgaben , ,Seite 20   Inhaltsverzeichnis 
Ausgewählte Probleme in Human Factors ,Selected Chapters in Human Factors , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Praktische Informatik / Datenbanksystem und ,Dr. Fabian Neuhaus ,deutsch ,FIN: M.Sc. DKE - Fundamentals of Data Science ,Seminar ,Nachbereitung der Vorlesung ,6 Kreditpunkte = 180h (56h Kontaktstunden + 124h , , ,"(extended ERM, UML, ODMG, XML Schema, etc.) ",Bearbeitung der Programmieraufgaben , ,     
Automated Reasoning ,Automated Reasoning , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,Infor-mationssysteme ,"DI J. Monecke, FMB-ILM ",deutsch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung; Übung ,180h (56h Präsenzzeit in den Vorlesungen & Übungen + 124h ,Selbststudium) , , ,"Foundations of query languages (OQL, SQL:2003, XPath/XQuery, ",Erfolgreiche Präsentation der Ergebnisse in den Übungen , , 
Automatisierung in der Materialflusstechnik ,Automatisierung in der Materialflusstechnik , , , , ,B.Sc. ab 4. Semester ,Wintersemester ,Professur für Theoretische Informatik ,Prof. Dr. Christian Diedrich ,deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Übung ,selbstständige Arbeit) ,Noten gemäss Prüfungsbestimmungen , ,"Comprehension of different non-relational database models, ",etc.) and query processing for non-relational data models ,Prüfung: mündlich (auch für Schein) , ,J. E. Marsden and T. S. Ratiu. Introduction to Mechanics and 
Automatisierungssysteme ,Automatisierungssysteme , , , , ,M.Sc. ab 3./ 4. Semester , ,"Hon.-Prof. Dr. Norbert Elkmann, Fraunhofer IFF ","Dr.-Ing. J. Ihlow, FEIT-IFAT ",deutsch ,FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer ,Vorlesung; Übung , ,Voraussetzungen nach , ,"their basic concepts, and their historical development ", , , ,Symmetry: A Basic Exposition of Classical Mechanical Systems. 
Automatisierungstechnik ,Automatisierungstechnik , , , , ,M.Sc. ab 1. Semester , ,Prof. Dr. Christian Hansen ,- ,deutsch ,FIN: M.Sc. WIF - Bereich Informatik ,Kolloquim; Bachelorarbeit ,Vorlesungen (2h pro Woche) ,Prüfungsordnung: ,"Mathematik I-II, Physik ",Comprehension of implications of non-relational data mod-els , , , ,"Texts in Applied Mathematics. Springer-Verlag, New York, third "
Bachelorarbeit ,Bachelor Thesis , , , , ,M.Sc. ab 3./ 4. Semester , ,Professur Visual Computing ,Hochschullehrer der FIN ,deutsch , ,"Bachelorarbeit, Kolloquium ",Theoretische und praktische Uebungen (2h pro Woche) , , ,for query processing and application development ,Topics of the lecture will frequently change in accordance with ,Schriftliche Prüfung , ,"ed. edition, 1999.J. E. Marsden and M. West. Discrete "
Bachelorarbeit (dual) ,Bachelor Thesis (dual) , , , , ,B.Sc. ab 7. Semester , ,Dr. Maria Luz / Jun.Prof. Dr. Christian Hansen ,Alle Dozenten der FIN ,deutsch , ,Projekt ,Hausaufgaben (124h): ,6 , ,Competence to use non-relational DBMS and based on their ,cur-rent research directions in the database community and , , ,"Mechanics and Variational Integrators. Acta Numerica, 10:357–"
Bachelor-Projekt ,Bachelor Project , ,BN , , ,B.Sc. ab 7. Semester ,Wintersemester ,Lehrstuhl für theoretische Informatik ,Prof. Dr. Rudolf Kruse ,englisch ,FIN: M.Sc. CV - Bereich Informatik ,Vorlesung; Übung , Weitere Studien , , ,specific capabilities ,represent cutting-edge aspects as for instance , , ,"515, 2001.D. D. Holm, T. Schmah, and C. Stoica. Geometric "
Bayessche Netze ,Bayes Networks , , , , ,B.Sc. ab 7. Semester ,Wintersemester ,"DI J. Monecke, FMB-ILM ","Professur für Unternehmensrechnung / Accounting, Professur ",deutsch ,FIN: M.Sc. DIGIENG - Methoden der Informatik ,Vorlesung; Übung ,Umsetzung der Uebungen ,Voraussetzungen nach , ,Competence to develop databases and according applica-tions ,Indexing and storage techniques for new applications and data ,Seite 25   Inhaltsverzeichnis ,Entfällt ,Mechanics and Symmetry: From Finite to Infinite Dimensions. 
Betriebliches Rechnungswesen ,Betriebliches Rechnungswesen , ,BDSP , , ,M.Sc. ab 1. Semester , ,Prof. Dr.-Ing. Christian Weber (FEIT-IFAT) / Dr.-Ing. Peter ,für Betriebswirtschaftliche Steuerlehre ,deutsch ,FIN: M.Sc. DKE - Learning Methods & Models for Data Science ,Vorlesung; Übung ,Vorbereitung für die finale Prüfung ,Prüfungsordnung: ,Allgemeine Psychologie I ,using non-relational databases ,"types, ",     , ,Oxford texts in applied and engineering mathematics. Oxford 
Big Data – Storage & Processing ,Big Data – Storage & Processing , ,BEK , , ,B.Sc. ab 3. Semester ,Wintersemester ,Eichelbaum (FEIT-IFAT) ,Dr. Robert Neumann ,deutsch ,FIN: M.Sc. DKE (alt) - Bereich Methods I ,Vorlesung ,Präsenzzeiten und selbstständiges Arbeiten: , , , ,"Data management for embedded devices and sensor net-works, ", , ,"University Press, 2009. "
Bilderfassung und - kodierung ,Image acquisition and coding , ,BgVzfP , , ,B.Sc. ab 1. Semester; M.Sc. ab 1. Semester ,Sommersemester ,"Dr.-Ing. J. Ihlow, FEIT-IFAT ",Dr. Krell ,deutsch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung; Übung ,Selbständige Bearbeitung eines anspruchsvollen ,6 , ,In the lecture students will be made familiar with most recent ,Self-management capabilities of database management sys-, , , 
Bildgebende Verfahren der zerstörungsfreien Werkstoffprüfung ,Imaging Techniques in Non-Destructive Testing , , , , ,B.Sc. ab 3. Semester , ,Hochschullehrer der FIN ,Herr Prof. Mook ,deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung ,wissenschaftlichen Thema , ,"Regelungstechnik, Steuerungstechnik, Ereignisdiskrete Systeme ",technological developments in data management. The first goal ,"tems,etc. ",Prüfung: Hausarbeit ,Seite 79   Inhaltsverzeichnis , 
Bildungswissenschaft und audiovisuelle Kommunikation ,Bildungswissenschaft und audiovisuelle Kommunikation , , , , ,B.Sc. ab 5. Semester ,Wintersemester ,Hochschullehrer der FIN ,Professur Allgemeine Pädagogik ,deutsch ,FIN: M.Sc. VC - Computer Science ,Vorlesung; Praktikum ,"Selbstständige Arbeit in einem Kleinprojekt, z.B. für die ",Voraussetzungen nach , ,is to enable the attendees to use these new technologies in , , ,     , 
Biochemie ,Biochemie , ,BioInf , , ,B.Sc. ab 1. Semester ,Sommersemester ,Alle Dozenten der FIN ,"FNW, Prof. W. Marwan ",deutsch ,FIN: M.Sc. WIF - Bereich Informatik ,Vorlesung; Übung ,Aufbereitung und Analyse von Daten zum vorgegebenen Thema ,Prüfungsordnung: , ,"their professional careers in industry. Furthermore, the lecture ",Understanding of structure preserving discretizations of fluids , , , 
Bioinformatik ,Bioinformatics , , , , ,B.Sc. ab 3. Semester , ,Professur für Praktische Informatik / Computational Intelligence ,Prof. Dr.-Ing. Andreas Nürnberger ,deutsch , ,Vorlesung ,"(optional, themenabhängig) ", , ,focuses on aspects currently addressed in scientific research ,and the trade-offs involvedAdvanced concepts from geometric , , , 
Biologische Psychologie ,Biologische Psychologie , ,BIOSEC , , ,B.Sc. ab 5. Semester ,Wintersemester ,"Professur für Unternehmensrechnung / Accounting, Professur ",Professur für Biologische Psychologie ,englisch , ,Vorlesung; Übung; Bearbeitung des Referates zu einem ,Präsenzzeit (inkl. Beratungstermine) für die Betreuung und ,6 Credit Points = 180 h (70 h Präsenzzeit + 110 h selbstständige , ,"being on the verge to wide usage in current applications, and ","mechanics (e.g. momentum maps, cotangent lift as a Poisson ",Prüfungsvorleistung: Bearbeitung des Projektes (Fallstudie) , , 
Biometrics and Security ,Biometrics and Security , ,MMDAP , , ,B.Sc. ab 1. Semester , ,für Betriebswirtschaftliche Steuerlehre ,Professur für Angewandte Informatik / Multimedia and Security ,deutsch ,FIN: B.Sc. CV - WPF Informatik ,ausgewählten Thema ,"Besprechung des Themas, Kontrolle des Fortschritts bei der ","Ar-beit, Notenskala gemäß Prüfungsordnung ","Grundlagen der Bildverarbeitung (FIN), Signalorientierte ", ,algebra homomorphism) ,Prüfung: mündlich , ,Seite 22   Inhaltsverzeichnis 
Biometrics Project ,Biometrics Project , , , , ,B.Sc. ab 1. Semester ,Wintersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik I ,"Prof. Dr-Ing. Jana Dittmann, Prof. Dr-Ing. Claus Vielhauer ",deutsch ,FIN: B.Sc. INF - WPF Technische Informatik ,Vorlesung; Übung; Projekt ,Bearbeitung ,Voraussetzungen nach ,Bildverarbeitung (FEIT) , , , , ,     
Bürgerliches Recht ,Bürgerliches Recht , , , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester , ,Dr. Krell ,"Professur für Bürgerliches Recht, Handels- und Wirtschaftsrecht, ",deutsch ,FIN: B.Sc. INF - Studienprofil - ForensikDesign@Informatik ,Vorlesung; Übung ,Vorbereitung einer Präsentation ,Prüfungsordnung: , ,Seite 19   Inhaltsverzeichnis ,Ausgewählte Themen aus dem Bereich Maschinelles Lernen wie , , , 
CAD-Anlagenplanung/Digitale Fabrik ,CAD-Anlagenplanung/Digitale Fabrik , ,CAx II , , ,B.Sc. ab 2. Semester ,Sommersemester ,Professur für Werkstoff- und Fügetechnik ,Law and Economics ,deutsch ,FIN: B.Sc. INGINF - WPF Informatik ,Vorlesung; Übung ,"Vorbereitung der Hausarbeit, zu der auch die Inhalte der ",keine , ,     ,spezielle Lernverfahren (z.B. SVM) oder spezielle Problem (wie ,Prüfung: Klausur 120 Min. , , 
CAx-Anwendungen ,CAx Applications , ,CAx I , , ,B.Sc. ab 4. Semester ,Wintersemester ,Professur Allgemeine Pädagogik ,- ,deutsch ,FIN: B.Sc. INGINF - WPF Technische Informatik ,Vorlesung; Übung ,Präsentation gehören ,10 ,Grundlagen der Konstruktionslehre und Konstruktionstechnik , ,z.B. massive Datensätze) ,Prüfungsvorleistungen: erfolgreiches Bearbeiten der , , 
CAx-Grundlagen ,CAx Fundamentals , , , , ,B.Sc. ab 3. Semester ,Wintersemester ,"FNW, Prof. W. Marwan ",Professur für Maschinenbauinformatik ,deutsch ,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,Vorlesung; Übung , , , ,"this way, enabling students to participate in academic and ", ,Übungsaufga-ben (Votierung) und des ,"Powerpoint, Tafel ", 
CAx-Management (CAM) ,CAx Management , , , , ,B.Sc. ab 3. Semester ,Wintersemester ,Professur für Data and Knowledge Engineering ,Professur für Maschinenbauinformatik ,deutsch ,FIN: M.Sc. CV - Bereich Informatik ,Vorlesung; Übung ,Präsenzzeiten: ,Voraussetzungen nach , ,industrial research. ,Der Kurs behandelt fortgeschrittene Themen aus dem Bereich ,Programmierwettbewerbs , , 
Chemie für STK ,Chemistry , ,CCD , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Biologische Psychologie ,"Prof. Dr.-Ing. Dr, h.c. Sándor Vajna, FMB–IMK/LMI ",englisch ,FIN: M.Sc. DIGIENG - Methoden der Informatik ,Vorlesung; Übung ,4 SWS Vorlesung ,Prüfungsordnung: , , ,"Netze, u.a.:Overlay Netze für Content Delivery, z.B. P2P, ", , , 
Clean Code Development ,Clean Code Development , , , , ,B.Sc. ab 1. Semester ,Wintersemester ,Professur für Angewandte Informatik / Multimedia and Security ,Prof. Dr. rer. nat. Franziska Scheffler ,deutsch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung; Übung ,  , ,Interesse für gestalterische Aspekte des Produkt- und ,In the seminar we will discuss recent papers from the literature ,"BitTorrent, CDNs, Caching, Overlay Video StreamingDistributed ", , , 
CNC-Programmierung ,CNC programming , ,ComCr , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester , ,Professur für Angewandte Informatik / Multiemdia and Security ,"Frank Ortmeier, FIN-IKS ",deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Übung ,Selbstständige Arbeit: ,4 ,Umweltdesigns sowie eigene gestalterische Aktivitäten ,on discrete geometric mechanics and the necessary background ,"Hash Tables (DHT), z.B. KademliaBlockchainsKryptowährungen ", , ,Seite 24   Inhaltsverzeichnis 
Computational Creativity ,Computational Creativity , ,CFD , , ,M.Sc. ab 1. Semester ,Wintersemester ,"Professur für Bürgerliches Recht, Handels- und Wirtschaftsrecht, ","Prof. Möhring, FMB-IFQ Weitere Lehrende: Dr. Schmidt, DI ",englisch ,FIN: M.Sc. WIF - Bereich Informatik ,Seminar ,"Nachbereitung der Vorlesungen, Projekt ", ,Erfolgreicher Abschluss von ID-Modul 1 ,from the continuous theory. A particular emphasis will be on ,und BitcoinEthereum und Smart ContractsSichere ,Seite 31   Inhaltsverzeichnis , ,     
Computational Fluid Dynamics ,Computational Fluid Dynamics , , , , ,B.Sc. ab 1. Semester , ,Law and Economics ,Leipelt; FMB-IFQ ,deutsch , ,Vorlesung; Übung ,180h = 4 SWS = 56h Präsenzzeit + 124h selbst-ständige Arbeit ,Voraussetzungen nach , ,"fluids and their structure preserving discretizations, with ","Netzwerkarchitekturen, z.B. SCIONCongestion Control, z.B. QUIC ",     , , 
Computational Geometry ,Computational Geometry , ,CIG , , ,B.Sc. ab 1. Semester ,Sommersemester ,Studienfachberater INGINF ,Dr. Fabian Neuhaus ,englisch , ,Vorlesung; Übung; Präsentationen , ,Prüfungsordnung: , ,applications to computer graphics and weather and climate ,und Multipath-QUIC , ,"Beamer, Overhead, Tafel ",Lehrbücher gemäß Ankündigung. 
Computational Intelligence in Games ,Computational Intelligence in Games , ,CAGD , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Maschinenbauinformatik ,Dr.-Ing. G. Janiga ,deutsch ,FIN: M.Sc. CV - Bereich Informatik ,Vorlesung; Übung ,Präsenzzeiten: , , ,simulations. , ,"Übungsschein, Praktikumschein, Klausur ", ,Folienskript der Vorlesung und Artikelkopien nach Bedarf. 
Computer Aided Geometric Design ,Computer Aided Geometric Design , , , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Maschinenbauinformatik ,Professur für Theoretische Informatik / Algorithmische ,deutsch ,FIN: M.Sc. DIGIENG - Methoden der Informatik ,Vorlesung; Übung ,- 3 SWS Vorlesung ,4 , , ,"Fortgeschrittene Themen zum Forschungsgebiet ""Knowledge ", ,"Beamer, Overhead, Tafel ", 
Computer Tomographie - Theorie und Anwendung ,Computer Tomographie - Theorie und Anwendung , ,CAS , , ,B.Sc. ab 1. Semester ,Wintersemester ,"Prof. Dr.-Ing. Dr, h.c. Sándor Vajna, FMB–IMK/LMI ",Geometrie ,englisch ,FIN: M.Sc. DKE - Learning Methods & Models for Data Science ,Vorlesung; Übung ,- 2 SWS Übung , ,• linear algebra and probability theory , ,"Management & Discovery"", darunter Themen aus den ", , , 
